time,time,G
2024-01-19 20:00:00,2024-01-19 20:00:00,0.0
2024-01-19 21:00:00,2024-01-19 21:00:00,0.0
2024-01-19 22:00:00,2024-01-19 22:00:00,0.0
2024-01-19 23:00:00,2024-01-19 23:00:00,0.0
2024-01-20 00:00:00,2024-01-20 00:00:00,0.0
2024-01-20 01:00:00,2024-01-20 01:00:00,0.0
2024-01-20 02:00:00,2024-01-20 02:00:00,0.0
2024-01-20 03:00:00,2024-01-20 03:00:00,0.0
2024-01-20 04:00:00,2024-01-20 04:00:00,0.0
2024-01-20 05:00:00,2024-01-20 05:00:00,0.0
2024-01-20 06:00:00,2024-01-20 06:00:00,16.2
2024-01-20 07:00:00,2024-01-20 07:00:00,146.4
2024-01-20 08:00:00,2024-01-20 08:00:00,307.42
